group,species,individual,leaf,biomass.mg,size.px,size.mm2,comments
forb,VICCRA ,1,1,3.1,21995,159.8473837,
forb,VICCRA ,1,2,2.04,14423,104.818314,
forb,VICCRA ,1,3,3.71,33454,243.125,
forb,VICCRA ,2,1,1.18,10377,75.41424419,
forb,VICCRA ,2,2,2.37,20324,147.7034884,
forb,VICCRA ,2,3,2.79,30573,222.1875,
forb,VICCRA ,3,1,2.27,17162,124.7238372,
forb,VICCRA ,3,2,3.21,23085,167.7688953,
forb,VICCRA ,3,3,4.37,41433,301.1119186,
forb,VICCRA ,4,1,2.19,22965,166.8968023,
forb,VICCRA ,4,2,2.51,20324,147.7034884,
forb,VICCRA ,4,3,2.5,26410,191.9331395,
forb,VICCRA ,5,1,1.66,14558,105.7994186,
forb,VICCRA ,5,2,2.84,23628,171.7151163,
forb,VICCRA ,5,3,2.74,30947,224.9055233,
forb,VICCRA ,6,1,2.9,21325,154.9781977,
forb,VICCRA ,6,2,4.09,30057,218.4375,
forb,VICCRA ,6,3,5.82,52588,382.1802326,
forb,VICCRA ,7,1,1.92,22704,165,
forb,VICCRA ,7,2,2.76,30549,222.0130814,
forb,VICCRA ,7,3,3.42,46686,339.2877907,
forb,VICCRA ,8,1,2,16464,119.6511628,
forb,VICCRA ,8,2,1.75,12762,92.74709302,
forb,VICCRA ,8,3,3.11,28923,210.1962209,
forb,VICCRA ,9,1,2.74,19171,139.3241279,
forb,VICCRA ,9,2,3.5,16037,116.5479651,
forb,VICCRA ,9,3,2.96,27478,199.6947674,
forb,VICCRA ,10,1,1.65,10829,78.69912791,
forb,VICCRA ,10,2,3.04,19252,139.9127907,
forb,VICCRA ,10,3,3.29,20019,145.4869186,
grass,LOLMUL,1,1,4.08,32375,235.2834302,
grass,LOLMUL,1,2,10.63,80268,583.3430233,
grass,LOLMUL,1,3,6.48,50445,366.6061047,
grass,LOLMUL,2,1,3.25,32752,238.0232558,
grass,LOLMUL,2,2,8.27,76815,558.2485465,
grass,LOLMUL,2,3,9.61,99816,725.4069767,
grass,LOLMUL,3,1,4.34,44075,320.3125,
grass,LOLMUL,3,2,13,119457,868.1468023,
grass,LOLMUL,3,3,9.53,87733,637.5944767,
grass,LOLMUL,4,1,4.59,40706,295.8284884,
grass,LOLMUL,4,2,8.26,74475,541.2427326,
grass,LOLMUL,4,3,10.95,107321,779.9491279,
grass,LOLMUL,5,1,3.07,25351,184.2369186,
grass,LOLMUL,5,2,7.08,58692,426.5406977,
grass,LOLMUL,5,3,10.38,88352,642.0930233,
grass,LOLMUL,6,1,3.62,37827,274.9055233,
grass,LOLMUL,6,2,6.66,60751,441.5043605,
grass,LOLMUL,6,3,13.88,103585,752.7979651,
grass,LOLMUL,7,1,5.02,43345,315.0072674,
grass,LOLMUL,7,2,7.19,18742,136.2063953,
grass,LOLMUL,7,3,15.67,123159,895.0508721,
grass,LOLMUL,8,1,2.92,30005,218.059593,
grass,LOLMUL,8,2,8.06,73299,532.6962209,
grass,LOLMUL,8,3,9.39,83215,604.7601744,
grass,LOLMUL,9,1,4.28,43343,314.9927326,
grass,LOLMUL,9,2,9.87,85498,621.3517442,
grass,LOLMUL,9,3,10.66,106334,772.7761628,
grass,LOLMUL,10,1,5.2,42444,308.4593023,
grass,LOLMUL,10,2,8.29,68559,498.2485465,
grass,LOLMUL,10,3,4.61,41448,301.2209302,
forb,GALALB,1,1,1.21,9983,72.55087209,4 leaves measured together (emerge in a whorl)
forb,GALALB,2,1,1.92,15692,114.0406977,
forb,GALALB,3,1,0.72,7448,54.12790698,
forb,GALALB,4,1,2.18,15185,110.3561047,
forb,GALALB,5,1,1.72,14696,106.8023256,
